City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,puerto san jose,13.9256,-90.8244,25.03,89,100,1698234955,GT,1698234955
80,mitrofanovka,49.9708,39.6939,6.96,58,98,1698206290,RU,1698206290
81,albany,42.6001,-73.9662,11.0,84,14,1698232827,US,1698232827
82,kodiak,57.79,-152.4072,-2.27,86,0,1698253599,US,1698253599
83,claremont,34.0967,-117.7198,17.49,87,100,1698242644,US,1698242644
84,fayzabad,37.1166,70.58,23.48,14,32,1698197649,AF,1698197649
85,mount isa,-20.7333,139.5,30.87,15,0,1698177849,AU,1698177849
86,san martin,-33.081,-68.4681,13.07,75,6,1698226905,AR,1698226905
87,susuman,62.7833,148.1667,-16.12,99,92,1698182374,RU,1698182374
88,graaff-reinet,-32.2522,24.5308,23.84,39,5,1698204664,ZA,1698204664
89,ola,59.5833,151.2833,-6.03,80,16,1698180928,RU,1698180928
90,kushiro,42.975,144.3747,9.53,100,40,1698180414,JP,1698180414
91,atafu village,-8.5421,-172.5159,28.9,75,7,1698339769,TK,1698339769
92,flying fish cove,-10.4217,105.6791,25.82,88,75,1698186538,CX,1698186538
93,vadso,70.0744,29.7487,-1.91,64,0,1698213358,NO,1698213358
94,meridian,43.6121,-116.3915,10.74,72,100,1698243112,US,1698243112
95,arraial do cabo,-22.9661,-42.0278,22.92,94,75,1698221259,BR,1698221259
96,fort st. john,56.2499,-120.8529,-15.06,92,0,1698245749,CA,1698245749
97,port blair,11.6667,92.75,27.02,83,75,1698190771,IN,1698190771
98,hadibu,12.65,54.0333,28.65,70,82,1698200116,YE,1698200116
99,parkes,-33.1333,148.1833,9.55,34,43,1698174944,AU,1698174944
100,salekhard,66.53,66.6019,-7.7,92,82,1698203062,RU,1698203062
101,hamilton,39.1834,-84.5333,18.09,52,100,1698235068,US,1698235068
102,georgetown,5.4112,100.3354,28.96,74,20,1698188630,MY,1698188630
103,thompson,55.7435,-97.8558,-3.91,80,100,1698240139,CA,1698240139
104,svetlyy,54.675,20.1347,8.03,88,100,1698211617,RU,1698211617
105,kapuskasing,49.4169,-82.4331,3.0,93,100,1698235567,CA,1698235567
106,podporozh'ye,60.9112,34.1706,1.62,65,8,1698209358,RU,1698209358
107,christchurch,-43.5333,172.6333,14.95,74,97,1698254479,NZ,1698254479
108,ulaangom,49.9811,92.0667,4.02,51,32,1698193707,MN,1698193707
109,port elizabeth,-33.918,25.5701,22.4,52,20,1698204288,ZA,1698204288
110,remire-montjoly,4.9167,-52.2667,27.02,89,40,1698225230,GF,1698225230
111,tangzhai,34.4328,116.5911,23.1,39,53,1698186400,CN,1698186400
112,antalaha,-14.9003,50.2788,28.24,67,100,1698199588,MG,1698199588
113,serdar,38.9764,56.2757,25.33,37,91,1698201232,TM,1698201232
114,marsh harbour,26.5412,-77.0636,25.74,67,89,1698232374,BS,1698232374
115,ushuaia,-54.8,-68.3,7.81,49,75,1698224428,AR,1698224428
116,lihue,21.9789,-159.3672,22.58,83,0,1698251859,US,1698251859
117,paracuru,-3.41,-39.0306,27.84,65,71,1698221627,BR,1698221627
118,nola,40.922,14.5329,20.79,88,100,1698211420,IT,1698211420
119,port lincoln,-34.7333,135.8667,11.24,51,14,1698177774,AU,1698177774
120,calama,-22.4667,-68.9333,13.27,18,0,1698227744,CL,1698227744
121,selfoss,63.9331,-20.9971,7.8,83,100,1698223353,IS,1698223353
122,vernon,50.2581,-119.2691,4.2,86,100,1698244519,CA,1698244519
123,eyl,7.9803,49.8164,30.18,62,14,1698200886,SO,1698200886
124,adrar,20.5022,-10.0711,33.52,23,16,1698215932,MR,1698215932
125,carnarvon,-24.8667,113.6333,21.57,73,0,1698183801,AU,1698183801
126,lebu,-37.6167,-73.65,8.76,83,12,1698227778,CL,1698227778
127,qarazhal,48.0078,70.7903,13.11,54,100,1698198593,KZ,1698198593
128,whitehorse,60.7161,-135.0538,-5.57,63,100,1698250004,CA,1698250004
129,sittwe,20.15,92.9,27.2,82,50,1698191192,MM,1698191192
130,fecamp,49.7579,0.3746,14.84,86,100,1698215712,FR,1698215712
131,cidreira,-30.1811,-50.2056,17.26,74,99,1698222740,BR,1698222740
132,awjilah,29.1081,21.2869,30.69,22,0,1698208923,LY,1698208923
133,shindand,33.3029,62.1474,26.99,14,54,1698199394,AF,1698199394
134,okhotsk,59.3833,143.3,-9.42,82,8,1698182809,RU,1698182809
135,moab,38.5733,-109.5498,9.03,44,0,1698241026,US,1698241026
136,challapata,-18.9,-66.7667,10.35,68,55,1698227440,BO,1698227440
137,hawaiian paradise park,19.5933,-154.9731,23.91,95,100,1698250667,US,1698250667
138,tadine,-21.55,167.8833,21.86,90,100,1698170992,NC,1698170992
139,beloyarskiy,63.7119,66.6722,-2.22,83,100,1698202209,RU,1698202209
140,laguna,38.421,-121.4238,13.99,84,0,1698243866,US,1698243866
141,dolinsk,47.35,142.8,10.96,95,79,1698181222,RU,1698181222
142,aasiaat,68.7098,-52.8699,-7.8,79,100,1698232630,GL,1698232630
143,brookings,44.3114,-96.7984,7.0,95,100,1698238473,US,1698238473
144,fortuna,40.5982,-124.1573,11.48,90,100,1698244704,US,1698244704
145,saue,59.3203,24.5525,4.78,60,0,1698211345,EE,1698211345
146,emporia,38.4039,-96.1817,20.11,94,100,1698237802,US,1698237802
147,mhamid,29.82,-5.72,27.12,17,0,1698215454,MA,1698215454
148,kencong,-8.2833,113.3667,25.42,85,10,1698184806,ID,1698184806
149,alofi,-19.0595,-169.9187,21.94,68,100,1698252176,NU,1698252176
150,nouadhibou,20.931,-17.0347,28.99,42,4,1698217628,MR,1698217628
151,constantia,44.1833,28.65,26.5,53,100,1698208325,RO,1698208325
152,worland,44.0169,-107.9554,4.82,95,100,1698241125,US,1698241125
153,balabac,7.9868,117.0645,28.47,71,56,1698184746,PH,1698184746
154,hassi messaoud,31.6804,6.0729,28.92,34,73,1698212747,DZ,1698212747
155,dunedin,-45.8742,170.5036,14.89,72,100,1698254731,NZ,1698254731
156,howard springs,-12.497,131.047,29.95,74,68,1698180341,AU,1698180341
157,xuchang,34.0167,113.8167,23.86,31,4,1698187036,CN,1698187036
158,yeppoon,-23.1333,150.7333,22.88,88,0,1698175010,AU,1698175010
159,nova sintra,14.8667,-24.7167,24.33,71,16,1698219137,CV,1698219137
160,jamestown,42.097,-79.2353,18.77,64,75,1698234047,US,1698234047
161,isafjordur,66.0755,-23.124,0.02,93,0,1698224499,IS,1698224499
162,thunder bay,48.4001,-89.3168,3.99,87,100,1698237104,CA,1698237104
163,uturoa,-16.7333,-151.4333,26.64,75,84,1698247877,PF,1698247877
164,ribeira brava,32.65,-17.0667,27.62,73,38,1698218370,PT,1698218370
165,stanley,54.868,-1.6985,10.29,95,75,1698216893,GB,1698216893
166,samarinda,-0.5,117.15,24.94,92,100,1698184296,ID,1698184296
167,badger,64.8,-147.5333,-3.07,87,100,1698254034,US,1698254034
168,goure,13.9835,10.2704,35.5,8,86,1698210691,NE,1698210691
169,xai-xai,-25.0519,33.6442,25.61,56,70,1698202976,MZ,1698202976
170,jiuquan,39.7432,98.5174,13.71,22,3,1698191149,CN,1698191149
171,tumpat,6.1978,102.171,27.7,76,26,1698188229,MY,1698188229
172,fang,19.9169,99.2145,23.5,94,66,1698189663,TH,1698189663
